system Eqm_adsorption(eV) Ereqm_adsorption(eV) Ereqm_adsorption_solv_fixed(eV) Ereqm_adsorption_solv_min(eV)
CONTCAR_AuCOOH_900945 0.26680000 0.30057471 -0.02868469 -0.04612438 
CONTCAR_AuCOOH_901070 0.25540000 0.30401810 0.05885082 -0.00733583 
CONTCAR_AuCOOH_901190 0.36560000 0.40155053 0.21640074 0.18485700 
CONTCAR_AuCOOH_901344 0.25580000 0.30822195 0.03117534 0.02073007 
CONTCAR_AuCOOH_901466 0.18400000 0.19876937 -0.22914697 -0.24489650 
CONTCAR_AuCOOH_901534 0.28650000 0.35854019 0.19385041 0.12735691 
CONTCAR_AuCOOH_901654 0.18560000 0.21910783 -0.04799336 -0.06061115 
CONTCAR_AuCOOH_901782 0.24020000 0.29223513 0.07173109 0.05341145 
CONTCAR_AuCOOH_902047 0.18610000 0.22866983 -0.05416648 -0.10578166 
CONTCAR_AuCOOH_902250 0.38060000 0.40038578 0.25980245 0.21427693 
CONTCAR_AuCOOH_902708 0.25380000 0.28194011 -0.09579199 -0.09952226 
CONTCAR_AuCOOH_902753 0.17560000 0.25427256 -0.05818212 -0.08221950 
CONTCAR_AuCOOH_902857 0.12100000 0.14861551 -0.16983831 -0.19345309 
CONTCAR_AuCOOH_903035 0.27970000 0.31995090 -0.03472458 -0.05601814 
CONTCAR_AuCOOH_903054 0.24980000 0.30445549 -0.06742807 -0.06716199 
CONTCAR_AuCOOH_903104 0.32850000 0.36415661 0.05347947 0.01011966 
CONTCAR_AuCOOH_903256 0.28250000 0.31143065 0.08859474 0.04009604 
CONTCAR_AuCOOH_0012 0.08090000 0.10815088 -0.30991911 -0.32771421 
CONTCAR_AuCOOH_1110132 0.15500000 0.16765261 -0.04741596 -0.07089701 
CONTCAR_AuCOOH_1110305 0.27280000 0.31962888 -0.00924506 -0.04769929 
CONTCAR_AuCOOH_1110362 0.28790000 0.29160228 -0.01815968 -0.04602220 
CONTCAR_AuCOOH_1110397 0.04800000 0.05389400 -0.30888248 -0.33308332 
